,cid,molecular_weight,atom_stereo_count,bond_stereo_count,cactvs_fingerprint,charge,complexity,conformer_id_3d,conformer_rmsd_3d,covalent_unit_count,defined_atom_stereo_count,defined_bond_stereo_count,exact_mass,feature_selfoverlap_3d,fingerprint,h_bond_acceptor_count,h_bond_donor_count,heavy_atom_count,isotope_atom_count,monoisotopic_mass,rotatable_bond_count,tpsa,undefined_atom_stereo_count,undefined_bond_stereo_count,xlogp
10,5497152,436.5,1,1,11110000011110000011100000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001101000000000000000000000100000100000000000000000100000010100101000001000000000000010000000100000100000000000000000000000011100010000100010000100000000100000110100100000100010000000000000000000000000000000001000000000000000000000000010000000100000000001000000000000000000001000000000010001000000010010000000000000000100000000000000100000000000000000000001011000000000000000000010110000000000000011100010001100100010100000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,462.0,,,1,0,1,436.25899064,,00000371F0783802000000000000000000000000000000000000000000000000000000000000001A00000820000814A08002020800000710884020D208800000002000000808010000080110120001000200000580000B000388C8A08000000000000000000000000000000000000000000000,7,3,29,0,436.25899064,21,113.0,1,0,5.2
11,89566,410.5,1,0,11110000011110000011100000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001101000000000000000000000100000100000000000000000100000010100101000001000000000000010000000100000100000000000000000000000011100010000000010000100000000000000100100000000100010000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000010001000000010010000000000000000000000000000000100000000000000000000001010000000000000000000000110000000000000001100010001100100010100000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,398.0,,,1,0,0,410.24334058,,00000371F0783802000000000000000000000000000000000000000000000000000000000000001A00000820000814A0800202080000071008400090088000000000000000000100000001101200000002000005000003000188C8A08000000000000000000000000000000000000000000000,7,3,27,0,410.24334058,20,113.0,1,0,5.0
12,5997,386.7,8,0,11110000011110000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000110000000000000000000000000000000001100000110000010000000000000000000000000000000000000000000000001100000100000000000000000000000000000000001101000000000000000000000100000000000000000000000111100010100101000001000000000000010000000100000000000000000000000000000001000000000100000000000001000100000010000100000000000000000000000000000000000000000001000000000000000000000000000000000100000000000000000000000000000001000000000000001000000000010000000000000000100000000000000000100000000000000000001001100000000000000000010000000000000000011100000001100000011110000000011111000000000000000000000000000000000000000000000000000000000000000110000000000000000000100000000000000000000100000000000000000000100000000000000000000100000000000000000000,0,591.0,,,1,8,0,386.354866087,,00000371F0782000000000000000000000000000000180000000306080000000000060800000001A00000800000F14A0800202000000020080022042000000000020000000080000000800100200010000400004C00008000380C0F00F8000000000000000C000040000200001000008000000,1,1,28,0,386.354866087,5,20.2,0,0,8.7
13,124886,307.33,2,0,11100000011100110011100000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000000100000100000000100000000000000000000000100000101000110001011100000000000100100000000000100000000010110000000000001000000100000010000000000000000001100100000001100000000000000000000000000000000000000000000000000000000000000000000000000010000001100010000000000000000000000000100100000000010010000000001000000000100000000101000100000000000000000001000001011000000000100100000000000000000000100111000001011100000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,389.0,,,1,2,0,307.08380644,,00000371E0733800400000000000000000000000000000000000000000000000000000000000001E04100800000828C5C004800802C002040800019018000000000000000000818800000240120080201440000416009000009C17020000000000000000000000000000000000000000000000,8,6,20,0,307.08380644,9,160.0,0,0,-4.5
14,311,192.12,0,0,11000000011000000011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001101000000000000000000000100000000000000000000000110001000100100000001000000000000000000000000000100000000000000000000000001000000000000010000000000000000000100100000000100000000010000000000000000000000000000000000000000000000000000000000000000000000001010000000000000000000000000000010000000000010110000000000000000000000000000000000100000000000000000001010010000000000000000000010000000000000000110010110010011000000000000010100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,227.0,,,1,0,0,192.02700259,,00000371C0603800000000000000000000000000000000000000000000000000000000000000001A00000800000C44808000000800000200080000900802000000000000000001400000010016000000004000052000010000CB26000A00000000000000000000000000000000000000000000,7,4,13,0,192.02700259,5,132.0,0,0,-1.7
15,5950,89.09,1,0,10000000010000100011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000000000000100000000100000000000000000000000100000101000110000011000000000000100000000100000100000000000010000000000001000000000000010000000000000000000100100000000100000000000000000000000000000000000000000000000000000000000000000000000000010000001100000000000000000000000000000100000000000000000000000000000000000000000000000000100000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,61.8,,,1,1,0,89.047678466,,0000037180423000000000000000000000000000000000000000000000000000000000000000001E00100800000828C180040208004002000800009008000000000000000000818000000200000000000040000010000000000000000000000000000000000000000000000000000000000000,3,2,6,0,89.047678466,1,63.3,0,0,-3.0
16,13711,227.22,3,0,11000000011100110011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100100000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000000000000100000000100000000000000000000000100000010100111000011000000000000110000000010000000000000011010000000000011000000000101010000000000000100010011001100111010000000000100000000000000000000001000000000000001000000000000010000000000000000000000110000000000000010000100000010001000000000010000000001000000000000000000011100100000000000000000001110001011000000010000000110000000000000000101100000011000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,355.0,,,1,3,0,227.09060590,,00000371C0733800000000000000000000000000000120000000200000000000000000000000001E00100800000814E18006010003400600A800226674008000010002000800001800108110020080000E4000071602030000B030020000000000000000000000000000000000000000000000,4,3,16,0,227.09060590,2,108.0,0,0,-1.8
17,440707,346.5,6,0,11100000011110000011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000110000000000000000000000000000000001100000110000010000000000000000000000000000000000000000000000001100000110000000000000000000000000000000001101000000000000000000000100000000000000000000000111101000100101000001000000000000010000000100000000000000000000000000000001000000000100010000000001010100000010100100000000000000010000000000000000000000000001000000000000000000000000000000000100000000001010000000000000001001000000000000001000000010010000000000000000100000000000000000100000000000000000001011000000000000000000010000000000100000011100010001100100011110000100011111000000000000000000000000000000000000000000000000000000000000000100000000000000000000100000000000000000000100000000000000000000110000000000000000000110000000000000000000,0,652.0,,,1,6,0,346.21440943,,00000371E0783800000000000000000000000000000180000000306080000000000060C00000001A00000800000F44A080020200000002008802A052000200000020000000080140004800101200010000400005800008010388C8F08F8000000000000000800004000020000180000C000000,4,2,25,0,346.21440943,2,74.6,0,0,2.5
18,5951,105.09,1,0,10000000010000100011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000000000000100000000100000000000000000000000100000101000111000011000000000000110000000000000100000000000010000000000001000000000000010000000000000000000100100000000100000000000000000000000000000000000000000000000000000000000000000000000000010000001100000000000000000000000000000100001000000000100000000000000000000000000000000000100000000000000000000010011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,72.6,,,1,1,0,105.042593085,,0000037180423000000000000000000000000000000000000000000000000000000000000000001E00100800000828E180060008004002000800009008000000000000000000818000000210040000000040000130000000000000000000000000000000000000000000000000000000000000,4,3,7,0,105.042593085,2,83.6,0,0,-3.1
19,94190,790.1,1,0,11110000011111100011110000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000000000000000000000000000100000000000000000100000010100111000011000000000000110000000100000100000000011000000000000010100010000000010000100000000000000100100000000100010000000000000000000000000000000000000000000000000000000000000000000000000000001000010000000000000000000000000110000000000010010000000000000000000000000000000100000000000000000000001010000000000000000000100100000000000000001100010001100100010100000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,888.0,,,1,1,0,789.62475576,,00000371F07E3C02000000000000000000000000000000000000000000000000000000000000001E00000020000814E1800602080300051008400090088000000000000000000108000003001200000002000005000012000188C8A08000000000000000000000000000000000000000000000,8,0,54,0,789.62475576,44,111.0,0,0,15.6
