,HMDB,PubChem_id,Protein,Uniprot,Combined
811,HMDB0008923,445468,GPR39,O43194,322.0
812,HMDB0000492,312,GPR39,O43194,162.0
813,HMDB0000016,6166,GPR39,O43194,174.0
814,HMDB0000058,6076,GPR39,O43194,187.0
815,HMDB0001341,6022,TLR6,Q9Y2C9,360.0
816,HMDB0010572,449008,TLR6,Q9Y2C9,586.0
817,HMDB0000045,6083,HTR7,P34969,236.0
818,HMDB0000050,60961,HTR7,P34969,944.0
819,HMDB0008923,445468,HTR7,P34969,322.0
820,HMDB0000492,312,HTR7,P34969,392.0
821,HMDB0000016,6166,HTR7,P34969,174.0
822,HMDB0000058,6076,HTR7,P34969,827.0
823,HMDB0000058,6076,HTR7,P34969,827.0
824,HMDB0000045,6083,NPFFR1,Q9GZQ6,279.0
825,HMDB0000050,60961,NPFFR1,Q9GZQ6,294.0
826,HMDB0008923,445468,NPFFR1,Q9GZQ6,322.0
827,HMDB0000492,312,NPFFR1,Q9GZQ6,162.0
828,HMDB0000016,6166,NPFFR1,Q9GZQ6,174.0
829,HMDB0000058,6076,NPFFR1,Q9GZQ6,187.0
830,HMDB0000067,5997,RARG,P13631,391.0
831,HMDB0000045,6083,HTR1B,P28222,176.0
832,HMDB0000050,60961,HTR1B,P28222,928.0
833,HMDB0008923,445468,HTR1B,P28222,322.0
834,HMDB0004666,5282280,HTR1B,P28222,910.0
835,HMDB0000492,312,HTR1B,P28222,162.0
836,HMDB0000016,6166,HTR1B,P28222,174.0
837,HMDB0000058,6076,HTR1B,P28222,447.0
838,HMDB0001341,6022,EPHA5,P54756,955.0
839,HMDB0000492,312,EPHA5,P54756,814.0
840,HMDB0001341,6022,EPHB4,P54760,949.0
841,HMDB0000058,6076,HCAR3,P49019,700.0
842,HMDB0000492,312,NGFR,P08138,810.0
843,HMDB0000492,312,NGFR,P08138,810.0
844,HMDB0000492,312,NPR1,P16066,811.0
845,HMDB0000492,312,NPR1,P16066,811.0
846,HMDB0000045,6083,OPRL1,P41146,176.0
847,HMDB0000050,60961,OPRL1,P41146,921.0
848,HMDB0008923,445468,OPRL1,P41146,322.0
849,HMDB0004666,5282280,OPRL1,P41146,910.0
850,HMDB0000492,312,OPRL1,P41146,162.0
851,HMDB0000016,6166,OPRL1,P41146,174.0
852,HMDB0000058,6076,OPRL1,P41146,187.0
853,HMDB0000492,312,GUCY1B1,Q02153,450.0
854,HMDB0000125,124886,PTPRZ1,P23471,482.0
855,HMDB0000067,5997,THRA,P10827,480.0
856,HMDB0000058,6076,TRPC6,Q9Y210,900.0
857,HMDB0007158,9543705,TRPC6,Q9Y210,925.0
858,HMDB0007161,6441562,TRPC6,Q9Y210,430.71148036253777
859,HMDB0007170,6438587,TRPC6,Q9Y210,430.71148036253777
860,HMDB0000492,312,GUCY2C,P25092,692.0
861,HMDB0000492,312,GUCY2C,P25092,691.0
862,HMDB0000190,107689,HCAR1,Q9BXC0,430.71148036253777
863,HMDB0000190,107689,HCAR1,Q9BXC0,430.71148036253777
864,HMDB0001341,6022,NLRC4,Q9NPP4,795.0
865,HMDB0001341,6022,TLR3,O15455,934.0
866,HMDB0010572,449008,TLR3,O15455,586.0
867,HMDB0001341,6022,TLR3,O15455,934.0
868,HMDB0000067,5997,ESRRB,O95718,319.0
869,HMDB0000067,5997,NR1I2,O75469,646.0
870,HMDB0001341,6022,P2RY14,Q15391,912.0
871,HMDB0000191,5960,GRM2,Q14416,800.0
872,HMDB0000045,6083,NTSR2,O95665,176.0
873,HMDB0000050,60961,NTSR2,O95665,237.0
874,HMDB0008923,445468,NTSR2,O95665,322.0
875,HMDB0000492,312,NTSR2,O95665,162.0
876,HMDB0000016,6166,NTSR2,O95665,174.0
877,HMDB0000058,6076,NTSR2,O95665,187.0
878,HMDB0000045,6083,APLNR,P35414,176.0
879,HMDB0000050,60961,APLNR,P35414,928.0
880,HMDB0008923,445468,APLNR,P35414,322.0
881,HMDB0004666,5282280,APLNR,P35414,910.0
882,HMDB0000492,312,APLNR,P35414,229.0
883,HMDB0000016,6166,APLNR,P35414,174.0
884,HMDB0000058,6076,APLNR,P35414,187.0
885,HMDB0000045,6083,GALR3,O60755,176.0
886,HMDB0000050,60961,GALR3,O60755,921.0
887,HMDB0008923,445468,GALR3,O60755,322.0
888,HMDB0004666,5282280,GALR3,O60755,910.0
889,HMDB0000492,312,GALR3,O60755,162.0
890,HMDB0000016,6166,GALR3,O60755,174.0
891,HMDB0000058,6076,GALR3,O60755,187.0
892,HMDB0000050,60961,SLC5A12,Q1EHB4,596.0
893,HMDB0000191,5960,GRIN1,Q05586,430.71148036253777
894,HMDB0000187,5951,GRIN1,Q05586,810.0
895,HMDB0000187,5951,GRIN1,Q05586,810.0
896,HMDB0000191,5960,GRIN1,Q05586,919.0
897,HMDB0007855,5497152,LPAR6,P43657,430.71148036253777
898,HMDB0007855,5497152,LPAR6,P43657,430.71148036253777
899,HMDB0007853,89566,LPAR6,P43657,270.0
900,HMDB0001341,6022,LPAR6,P43657,900.0
901,HMDB0001377,977,ABCC6,O95255,489.0
902,HMDB0000492,312,GUCY1A1,Q02108,450.0
903,HMDB0001341,6022,ADGRA1,Q86SQ6,360.0
904,HMDB0010572,449008,ADGRA1,Q86SQ6,370.0
905,HMDB0000050,60961,ASIC1,P78348,429.0
906,HMDB0000191,5960,GRM1,Q13255,800.0
907,HMDB0001341,6022,LGR4,Q9BXB1,360.0
908,HMDB0010572,449008,LGR4,Q9BXB1,370.0
909,HMDB0000067,5997,NR0B1,P51843,439.0
910,HMDB0001341,6022,TLR9,Q9NR96,934.0
911,HMDB0010572,449008,TLR9,Q9NR96,586.0
912,HMDB0000067,5997,ABCA10,Q8WWZ4,800.0
913,HMDB0000067,5997,SLC9A1,P19634,800.0
914,HMDB0000067,5997,PPARD,Q03181,460.0
915,HMDB0000050,60961,P2RY11,Q96G91,516.0
916,HMDB0000045,6083,HCRTR2,O43614,289.0
917,HMDB0000050,60961,HCRTR2,O43614,299.0
918,HMDB0008923,445468,HCRTR2,O43614,322.0
919,HMDB0000492,312,HCRTR2,O43614,162.0
920,HMDB0000016,6166,HCRTR2,O43614,174.0
921,HMDB0000058,6076,HCRTR2,O43614,187.0
922,HMDB0001341,6022,TLR1,Q15399,360.0
923,HMDB0010572,449008,TLR1,Q15399,586.0
924,HMDB0001341,6022,MERTK,Q12866,979.0
925,HMDB0000492,312,MERTK,Q12866,800.0
926,HMDB0000058,6076,ABCC8,Q09428,900.0
927,HMDB0001377,977,ABCC8,Q09428,722.0
928,HMDB0000058,6076,TRPC5,Q9UL62,900.0
929,HMDB0000191,5960,GRIN2C,Q14957,430.71148036253777
930,HMDB0000187,5951,GRIN2C,Q14957,679.0
931,HMDB0000187,5951,GRIN2C,Q14957,679.0
932,HMDB0000191,5960,GRIN2C,Q14957,936.0
933,HMDB0000492,312,KCNH2,Q12809,753.0
934,HMDB0004666,5282280,CNR1,P21554,430.71148036253777
935,HMDB0000045,6083,CNR1,P21554,176.0
936,HMDB0000050,60961,CNR1,P21554,939.0
937,HMDB0008923,445468,CNR1,P21554,322.0
938,HMDB0004666,5282280,CNR1,P21554,997.0
939,HMDB0000492,312,CNR1,P21554,263.0
940,HMDB0000016,6166,CNR1,P21554,174.0
941,HMDB0000058,6076,CNR1,P21554,300.0
942,HMDB0004666,5282280,CNR1,P21554,997.0
943,HMDB0000492,312,NPR3,P17342,886.0
944,HMDB0000058,6076,NPR3,P17342,800.0
945,HMDB0000016,6166,AR,P10275,381.0
946,HMDB0000050,60961,AR,P10275,800.0
947,HMDB0000067,5997,AR,P10275,496.0
948,HMDB0000158,6057,AR,P10275,800.0
949,HMDB0001341,6022,TLR10,Q9BXR5,360.0
950,HMDB0010572,449008,TLR10,Q9BXR5,586.0
951,HMDB0000016,6166,NR3C1,P04150,430.71148036253777
952,HMDB0000067,5997,NR3C1,P04150,769.0
953,HMDB0000045,6083,GPR142,Q7Z601,176.0
954,HMDB0000050,60961,GPR142,Q7Z601,237.0
955,HMDB0008923,445468,GPR142,Q7Z601,322.0
956,HMDB0000492,312,GPR142,Q7Z601,162.0
957,HMDB0000016,6166,GPR142,Q7Z601,174.0
958,HMDB0000058,6076,GPR142,Q7Z601,187.0
959,HMDB0001341,6022,EPHB1,P54762,973.0
960,HMDB0000191,5960,GRM5,P41594,800.0
961,HMDB0000045,6083,OPN1SW,P03999,176.0
962,HMDB0000050,60961,OPN1SW,P03999,237.0
963,HMDB0008923,445468,OPN1SW,P03999,322.0
964,HMDB0000492,312,OPN1SW,P03999,162.0
965,HMDB0000016,6166,OPN1SW,P03999,174.0
966,HMDB0000058,6076,OPN1SW,P03999,187.0
967,HMDB0000045,6083,HTR4,Q13639,176.0
968,HMDB0000050,60961,HTR4,Q13639,921.0
969,HMDB0008923,445468,HTR4,Q13639,322.0
970,HMDB0000492,312,HTR4,Q13639,243.0
971,HMDB0000016,6166,HTR4,Q13639,174.0
972,HMDB0000058,6076,HTR4,Q13639,305.0
973,HMDB0000045,6083,BDKRB1,P46663,176.0
974,HMDB0000050,60961,BDKRB1,P46663,921.0
975,HMDB0008923,445468,BDKRB1,P46663,322.0
976,HMDB0004666,5282280,BDKRB1,P46663,910.0
977,HMDB0000492,312,BDKRB1,P46663,162.0
978,HMDB0000016,6166,BDKRB1,P46663,174.0
979,HMDB0000058,6076,BDKRB1,P46663,187.0
980,HMDB0000191,5960,GRIN2D,O15399,430.71148036253777
981,HMDB0000187,5951,GRIN2D,O15399,670.0
982,HMDB0000187,5951,GRIN2D,O15399,670.0
983,HMDB0000191,5960,GRIN2D,O15399,957.0
984,HMDB0000045,6083,GPR52,Q9Y2T5,176.0
985,HMDB0000050,60961,GPR52,Q9Y2T5,237.0
986,HMDB0008923,445468,GPR52,Q9Y2T5,322.0
987,HMDB0004666,5282280,GPR52,Q9Y2T5,198.0
988,HMDB0000492,312,GPR52,Q9Y2T5,162.0
989,HMDB0000016,6166,GPR52,Q9Y2T5,174.0
990,HMDB0000058,6076,GPR52,Q9Y2T5,187.0
991,HMDB0000045,6083,ADRA2C,P18825,176.0
992,HMDB0000050,60961,ADRA2C,P18825,928.0
993,HMDB0008923,445468,ADRA2C,P18825,322.0
994,HMDB0004666,5282280,ADRA2C,P18825,910.0
995,HMDB0000492,312,ADRA2C,P18825,162.0
996,HMDB0000016,6166,ADRA2C,P18825,174.0
997,HMDB0000058,6076,ADRA2C,P18825,262.0
998,HMDB0000067,5997,NR1H2,P55055,878.0
999,HMDB0000045,6083,HTR6,P50406,176.0
1000,HMDB0000050,60961,HTR6,P50406,921.0
1001,HMDB0008923,445468,HTR6,P50406,322.0
1002,HMDB0000492,312,HTR6,P50406,162.0
1003,HMDB0000016,6166,HTR6,P50406,174.0
1004,HMDB0000058,6076,HTR6,P50406,264.0
1005,HMDB0004666,5282280,CNR2,P34972,430.71148036253777
1006,HMDB0004666,5282280,CNR2,P34972,430.71148036253777
1007,HMDB0004666,5282280,CNR2,P34972,430.71148036253777
1008,HMDB0004666,5282280,CNR2,P34972,430.71148036253777
1009,HMDB0000045,6083,CNR2,P34972,176.0
1010,HMDB0000050,60961,CNR2,P34972,927.0
1011,HMDB0008923,445468,CNR2,P34972,322.0
1012,HMDB0004666,5282280,CNR2,P34972,994.0
1013,HMDB0000492,312,CNR2,P34972,162.0
1014,HMDB0000016,6166,CNR2,P34972,174.0
1015,HMDB0000058,6076,CNR2,P34972,187.0
1016,HMDB0004666,5282280,CNR2,P34972,994.0
1017,HMDB0001341,6022,TLR8,Q9NR97,360.0
1018,HMDB0010572,449008,TLR8,Q9NR97,586.0
1019,HMDB0000492,312,TRPA1,O75762,818.0
1020,HMDB0000045,6083,OPN5,Q6U736,176.0
1021,HMDB0000050,60961,OPN5,Q6U736,237.0
1022,HMDB0008923,445468,OPN5,Q6U736,322.0
1023,HMDB0000492,312,OPN5,Q6U736,162.0
1024,HMDB0000016,6166,OPN5,Q6U736,174.0
1025,HMDB0000058,6076,OPN5,Q6U736,187.0
1026,HMDB0007855,5497152,P2RY10,O00398,430.71148036253777
1027,HMDB0007855,5497152,P2RY10,O00398,430.71148036253777
1028,HMDB0001341,6022,P2RY10,O00398,900.0
1029,HMDB0000045,6083,PRLHR,P49683,176.0
1030,HMDB0000050,60961,PRLHR,P49683,237.0
1031,HMDB0008923,445468,PRLHR,P49683,322.0
1032,HMDB0000492,312,PRLHR,P49683,162.0
1033,HMDB0000016,6166,PRLHR,P49683,174.0
1034,HMDB0000058,6076,PRLHR,P49683,187.0
1035,HMDB0000492,312,IL22RA1,Q8N6P7,800.0
1036,HMDB0000067,5997,RARA,P10276,375.0
1037,HMDB0000492,312,GUCY2D,Q02846,675.0
1038,HMDB0000045,6083,AVPR2,P30518,176.0
1039,HMDB0000050,60961,AVPR2,P30518,921.0
1040,HMDB0008923,445468,AVPR2,P30518,322.0
1041,HMDB0000492,312,AVPR2,P30518,292.0
1042,HMDB0000016,6166,AVPR2,P30518,174.0
1043,HMDB0000058,6076,AVPR2,P30518,304.0
1044,HMDB0001341,6022,P2RX1,P51575,876.0
1045,HMDB0001341,6022,ITGA1,P56199,900.0
1046,HMDB0000045,6083,PTGER2,P43116,176.0
1047,HMDB0000050,60961,PTGER2,P43116,921.0
1048,HMDB0008923,445468,PTGER2,P43116,322.0
1049,HMDB0000492,312,PTGER2,P43116,162.0
1050,HMDB0000016,6166,PTGER2,P43116,174.0
1051,HMDB0000058,6076,PTGER2,P43116,209.0
1052,HMDB0000125,124886,ATP7B,P35670,786.0
1053,HMDB0000050,60961,SCNN1D,P51172,429.0
1054,HMDB0000050,60961,SLC5A6,Q9Y289,541.0
1055,HMDB0000045,6083,PTGER1,P34995,176.0
1056,HMDB0000050,60961,PTGER1,P34995,237.0
1057,HMDB0008923,445468,PTGER1,P34995,322.0
1058,HMDB0000492,312,PTGER1,P34995,162.0
1059,HMDB0000016,6166,PTGER1,P34995,174.0
1060,HMDB0000058,6076,PTGER1,P34995,343.0
1061,HMDB0000045,6083,CCR3,P51677,176.0
1062,HMDB0000050,60961,CCR3,P51677,921.0
1063,HMDB0008923,445468,CCR3,P51677,322.0
1064,HMDB0004666,5282280,CCR3,P51677,910.0
1065,HMDB0000492,312,CCR3,P51677,162.0
1066,HMDB0000016,6166,CCR3,P51677,174.0
1067,HMDB0000058,6076,CCR3,P51677,187.0
1068,HMDB0000045,6083,RET,P07949,800.0
1069,HMDB0000050,60961,RET,P07949,800.0
1070,HMDB0001341,6022,LGR6,Q9HBX8,360.0
1071,HMDB0010572,449008,LGR6,Q9HBX8,370.0
1072,HMDB0001341,6022,RXFP1,Q9HBX9,360.0
1073,HMDB0010572,449008,RXFP1,Q9HBX9,370.0
1074,HMDB0000045,6083,OPN3,Q9H1Y3,176.0
1075,HMDB0000050,60961,OPN3,Q9H1Y3,237.0
1076,HMDB0008923,445468,OPN3,Q9H1Y3,322.0
1077,HMDB0000492,312,OPN3,Q9H1Y3,162.0
1078,HMDB0000016,6166,OPN3,Q9H1Y3,174.0
1079,HMDB0000058,6076,OPN3,Q9H1Y3,187.0
1080,HMDB0000058,6076,TRPC3,Q13507,900.0
1081,HMDB0001377,977,ABCB8,Q9NUT2,264.0
1082,HMDB0000045,6083,SSTR4,P31391,176.0
1083,HMDB0000050,60961,SSTR4,P31391,921.0
1084,HMDB0008923,445468,SSTR4,P31391,322.0
1085,HMDB0004666,5282280,SSTR4,P31391,910.0
1086,HMDB0000492,312,SSTR4,P31391,162.0
1087,HMDB0000016,6166,SSTR4,P31391,174.0
1088,HMDB0000058,6076,SSTR4,P31391,187.0
1089,HMDB0001377,977,SLC26A3,P40879,818.0
1090,HMDB0000045,6083,CCR4,P51679,176.0
1091,HMDB0000050,60961,CCR4,P51679,921.0
1092,HMDB0008923,445468,CCR4,P51679,322.0
1093,HMDB0004666,5282280,CCR4,P51679,910.0
1094,HMDB0000492,312,CCR4,P51679,162.0
1095,HMDB0000016,6166,CCR4,P51679,174.0
1096,HMDB0000058,6076,CCR4,P51679,187.0
1097,HMDB0000492,312,PTPRO,Q16827,800.0
1098,HMDB0000492,312,MET,P08581,800.0
1099,HMDB0000045,6083,OPN1LW,P04000,176.0
1100,HMDB0000050,60961,OPN1LW,P04000,237.0
1101,HMDB0008923,445468,OPN1LW,P04000,322.0
1102,HMDB0000492,312,OPN1LW,P04000,162.0
1103,HMDB0000016,6166,OPN1LW,P04000,174.0
1104,HMDB0000058,6076,OPN1LW,P04000,187.0
1105,HMDB0001341,6022,EPHA3,P29320,955.0
1106,HMDB0001341,6022,EPHA8,P29322,949.0
1107,HMDB0000067,5997,RORC,P51449,430.71148036253777
1108,HMDB0000067,5997,RORC,P51449,430.71148036253777
1109,HMDB0000067,5997,RORC,P51449,430.71148036253777
1110,HMDB0000067,5997,RORC,P51449,430.71148036253777
1111,HMDB0001377,977,ABCC3,O15438,537.0
1112,HMDB0001341,6022,P2RX6,O15547,820.0
1113,HMDB0001341,6022,ITGB5,P18084,900.0
1114,HMDB0000045,6083,HTR1E,P28566,176.0
1115,HMDB0000050,60961,HTR1E,P28566,921.0
1116,HMDB0008923,445468,HTR1E,P28566,322.0
1117,HMDB0004666,5282280,HTR1E,P28566,910.0
1118,HMDB0000492,312,HTR1E,P28566,162.0
1119,HMDB0000016,6166,HTR1E,P28566,174.0
1120,HMDB0000058,6076,HTR1E,P28566,318.0
1121,HMDB0000045,6083,PTGER4,P35408,176.0
1122,HMDB0000050,60961,PTGER4,P35408,933.0
1123,HMDB0008923,445468,PTGER4,P35408,322.0
1124,HMDB0000492,312,PTGER4,P35408,162.0
1125,HMDB0000016,6166,PTGER4,P35408,174.0
1126,HMDB0000058,6076,PTGER4,P35408,473.0
1127,HMDB0001341,6022,P2RY1,P47900,430.71148036253777
1128,HMDB0001341,6022,P2RY1,P47900,430.71148036253777
1129,HMDB0001341,6022,P2RY1,P47900,995.0
1130,HMDB0000045,6083,P2RY1,P47900,522.0
1131,HMDB0001341,6022,P2RY1,P47900,995.0
1132,HMDB0000050,60961,P2RY1,P47900,953.0
1133,HMDB0000034,190,P2RY1,P47900,931.0
1134,HMDB0000045,6083,NPSR1,Q6W5P4,176.0
1135,HMDB0000050,60961,NPSR1,Q6W5P4,921.0
1136,HMDB0008923,445468,NPSR1,Q6W5P4,322.0
1137,HMDB0000492,312,NPSR1,Q6W5P4,162.0
1138,HMDB0000016,6166,NPSR1,Q6W5P4,174.0
1139,HMDB0000058,6076,NPSR1,Q6W5P4,187.0
1140,HMDB0000492,312,PTPRB,P23467,800.0
1141,HMDB0001341,6022,EPHB2,P29323,978.0
1142,HMDB0000191,5960,GRIA4,P48058,948.0
1143,HMDB0001341,6022,ALK,Q9UM73,979.0
1144,HMDB0000492,312,ERBB2,P04626,824.0
1145,HMDB0000492,312,ERBB2,P04626,825.0
1146,HMDB0000067,5997,ERBB2,P04626,503.0
1147,HMDB0000058,6076,ERBB2,P04626,814.0
1148,HMDB0001377,977,ABCC9,O60706,684.0
1149,HMDB0000492,312,ITGAM,P11215,859.0
1150,HMDB0000492,312,ITGAM,P11215,859.0
1151,HMDB0000045,6083,GPR78,Q96P69,176.0
1152,HMDB0000050,60961,GPR78,Q96P69,237.0
1153,HMDB0008923,445468,GPR78,Q96P69,322.0
1154,HMDB0000492,312,GPR78,Q96P69,162.0
1155,HMDB0000016,6166,GPR78,Q96P69,174.0
1156,HMDB0000058,6076,GPR78,Q96P69,187.0
1157,HMDB0000045,6083,GALR2,O43603,176.0
1158,HMDB0000050,60961,GALR2,O43603,921.0
1159,HMDB0008923,445468,GALR2,O43603,322.0
1160,HMDB0004666,5282280,GALR2,O43603,910.0
1161,HMDB0000492,312,GALR2,O43603,162.0
1162,HMDB0000016,6166,GALR2,O43603,174.0
1163,HMDB0000058,6076,GALR2,O43603,187.0
1164,HMDB0000050,60961,ADORA2A,P29274,430.71148036253777
1165,HMDB0000050,60961,ADORA2A,P29274,430.71148036253777
1166,HMDB0000050,60961,ADORA2A,P29274,430.71148036253777
1167,HMDB0000050,60961,ADORA2A,P29274,430.71148036253777
1168,HMDB0000050,60961,ADORA2A,P29274,430.71148036253777
1169,HMDB0000050,60961,ADORA2A,P29274,430.71148036253777
1170,HMDB0000045,6083,ADORA2A,P29274,571.0
1171,HMDB0000050,60961,ADORA2A,P29274,999.0
1172,HMDB0008923,445468,ADORA2A,P29274,322.0
1173,HMDB0000492,312,ADORA2A,P29274,279.0
1174,HMDB0000016,6166,ADORA2A,P29274,174.0
1175,HMDB0000058,6076,ADORA2A,P29274,303.0
1176,HMDB0000050,60961,ADORA2A,P29274,999.0
1177,HMDB0000094,311,FGFR2,P21802,800.0
1178,HMDB0000045,6083,TBXA2R,P21731,176.0
1179,HMDB0000050,60961,TBXA2R,P21731,570.0
1180,HMDB0008923,445468,TBXA2R,P21731,322.0
1181,HMDB0000492,312,TBXA2R,P21731,162.0
1182,HMDB0000016,6166,TBXA2R,P21731,174.0
1183,HMDB0000058,6076,TBXA2R,P21731,551.0
1184,HMDB0000191,5960,GRIN2A,Q12879,430.71148036253777
1185,HMDB0000187,5951,GRIN2A,Q12879,716.0
1186,HMDB0000187,5951,GRIN2A,Q12879,716.0
1187,HMDB0000191,5960,GRIN2A,Q12879,915.0
1188,HMDB0000492,312,IFNGR1,P15260,800.0
1189,HMDB0001341,6022,IFNGR1,P15260,900.0
1190,HMDB0000045,6083,GPR27,Q9NS67,176.0
1191,HMDB0000050,60961,GPR27,Q9NS67,237.0
1192,HMDB0008923,445468,GPR27,Q9NS67,322.0
1193,HMDB0000492,312,GPR27,Q9NS67,162.0
1194,HMDB0000016,6166,GPR27,Q9NS67,174.0
1195,HMDB0000058,6076,GPR27,Q9NS67,187.0
1196,HMDB0007855,5497152,LPAR4,Q99677,430.71148036253777
1197,HMDB0007855,5497152,LPAR4,Q99677,430.71148036253777
1198,HMDB0000067,5997,ABCA1,O95477,997.0
1199,HMDB0000067,5997,NR1H3,Q13133,722.0
1200,HMDB0000045,6083,NPY4R,P50391,176.0
1201,HMDB0000050,60961,NPY4R,P50391,921.0
1202,HMDB0008923,445468,NPY4R,P50391,322.0
1203,HMDB0004666,5282280,NPY4R,P50391,910.0
1204,HMDB0000492,312,NPY4R,P50391,162.0
1205,HMDB0000016,6166,NPY4R,P50391,174.0
1206,HMDB0000058,6076,NPY4R,P50391,187.0
1207,HMDB0000045,6083,DRD5,P21918,176.0
1208,HMDB0000050,60961,DRD5,P21918,921.0
1209,HMDB0008923,445468,DRD5,P21918,322.0
1210,HMDB0000492,312,DRD5,P21918,231.0
1211,HMDB0000016,6166,DRD5,P21918,174.0
1212,HMDB0000058,6076,DRD5,P21918,187.0
1213,HMDB0000492,312,ITGA2B,P08514,816.0
1214,HMDB0000492,312,ITGA2B,P08514,817.0
1215,HMDB0000067,5997,RXRA,P19793,486.0
1216,HMDB0000492,312,SLC5A1,P13866,826.0
1217,HMDB0000034,190,ACVR2B,Q13705,800.0
1218,HMDB0000045,6083,NPY2R,P49146,176.0
1219,HMDB0000050,60961,NPY2R,P49146,921.0
1220,HMDB0008923,445468,NPY2R,P49146,322.0
1221,HMDB0004666,5282280,NPY2R,P49146,910.0
1222,HMDB0000492,312,NPY2R,P49146,162.0
1223,HMDB0000016,6166,NPY2R,P49146,174.0
1224,HMDB0000058,6076,NPY2R,P49146,187.0
1225,HMDB0000045,6083,OXTR,P30559,176.0
1226,HMDB0000050,60961,OXTR,P30559,307.0
1227,HMDB0008923,445468,OXTR,P30559,322.0
1228,HMDB0000492,312,OXTR,P30559,251.0
1229,HMDB0000016,6166,OXTR,P30559,174.0
1230,HMDB0000058,6076,OXTR,P30559,303.0
1231,HMDB0000045,6083,FFAR4,Q5NUL3,176.0
1232,HMDB0000050,60961,FFAR4,Q5NUL3,237.0
1233,HMDB0008923,445468,FFAR4,Q5NUL3,322.0
1234,HMDB0000492,312,FFAR4,Q5NUL3,162.0
1235,HMDB0000016,6166,FFAR4,Q5NUL3,174.0
1236,HMDB0000058,6076,FFAR4,Q5NUL3,187.0
1237,HMDB0000067,5997,NR1I3,Q14994,507.0
1238,HMDB0000067,5997,NR2E1,Q9Y466,319.0
1239,HMDB0000045,6083,ADRB3,P13945,176.0
1240,HMDB0000050,60961,ADRB3,P13945,968.0
1241,HMDB0008923,445468,ADRB3,P13945,322.0
1242,HMDB0000492,312,ADRB3,P13945,162.0
1243,HMDB0000016,6166,ADRB3,P13945,174.0
1244,HMDB0000058,6076,ADRB3,P13945,709.0
1245,HMDB0000050,60961,ADRB3,P13945,968.0
1246,HMDB0000067,5997,ADRB3,P13945,523.0
1247,HMDB0000058,6076,ADRB3,P13945,709.0
1248,HMDB0004666,5282280,GPR55,Q9Y2T6,430.71148036253777
1249,HMDB0004666,5282280,GPR55,Q9Y2T6,430.71148036253777
1250,HMDB0004666,5282280,GPR55,Q9Y2T6,430.71148036253777
1251,HMDB0004666,5282280,GPR55,Q9Y2T6,430.71148036253777
1252,HMDB0004666,5282280,GPR55,Q9Y2T6,955.0
1253,HMDB0007855,5497152,LPAR2,Q9HBW0,430.71148036253777
1254,HMDB0007855,5497152,LPAR2,Q9HBW0,430.71148036253777
1255,HMDB0000045,6083,LPAR2,Q9HBW0,176.0
1256,HMDB0000050,60961,LPAR2,Q9HBW0,933.0
1257,HMDB0008923,445468,LPAR2,Q9HBW0,322.0
1258,HMDB0004666,5282280,LPAR2,Q9HBW0,910.0
1259,HMDB0000492,312,LPAR2,Q9HBW0,162.0
1260,HMDB0000016,6166,LPAR2,Q9HBW0,174.0
1261,HMDB0007853,89566,LPAR2,Q9HBW0,403.0
1262,HMDB0000058,6076,LPAR2,Q9HBW0,259.0
1263,HMDB0001341,6022,P2RY4,P51582,919.0
1264,HMDB0000045,6083,HCRTR1,O43613,289.0
1265,HMDB0000050,60961,HCRTR1,O43613,299.0
1266,HMDB0008923,445468,HCRTR1,O43613,322.0
1267,HMDB0000492,312,HCRTR1,O43613,162.0
1268,HMDB0000016,6166,HCRTR1,O43613,174.0
1269,HMDB0000058,6076,HCRTR1,O43613,187.0
1270,HMDB0008923,445468,NR5A1,Q13285,800.0
1271,HMDB0000045,6083,HRH2,P25021,281.0
1272,HMDB0000050,60961,HRH2,P25021,921.0
1273,HMDB0008923,445468,HRH2,P25021,322.0
1274,HMDB0000492,312,HRH2,P25021,162.0
1275,HMDB0000016,6166,HRH2,P25021,174.0
1276,HMDB0000058,6076,HRH2,P25021,805.0
1277,HMDB0000058,6076,HRH2,P25021,805.0
1278,HMDB0001341,6022,ADGRA3,Q8IWK6,360.0
1279,HMDB0010572,449008,ADGRA3,Q8IWK6,370.0
1280,HMDB0000067,5997,NR2F1,P10589,319.0
1281,HMDB0000045,6083,BRS3,P32247,176.0
1282,HMDB0000050,60961,BRS3,P32247,237.0
1283,HMDB0008923,445468,BRS3,P32247,322.0
1284,HMDB0000492,312,BRS3,P32247,162.0
1285,HMDB0000016,6166,BRS3,P32247,174.0
1286,HMDB0000058,6076,BRS3,P32247,187.0
1287,HMDB0000067,5997,NR6A1,Q15406,319.0
1288,HMDB0000045,6083,MCHR2,Q969V1,176.0
1289,HMDB0000050,60961,MCHR2,Q969V1,921.0
1290,HMDB0008923,445468,MCHR2,Q969V1,322.0
1291,HMDB0004666,5282280,MCHR2,Q969V1,910.0
1292,HMDB0000492,312,MCHR2,Q969V1,162.0
1293,HMDB0000016,6166,MCHR2,Q969V1,174.0
1294,HMDB0000058,6076,MCHR2,Q969V1,187.0
1295,HMDB0000492,312,NLRP4,Q96MN2,800.0
1296,HMDB0001341,6022,NLRP4,Q96MN2,900.0
1297,HMDB0000191,5960,GRIK3,Q13003,908.0
1298,HMDB0001377,977,ABCC11,Q96J66,408.0
1299,HMDB0000045,6083,EDNRB,P24530,176.0
